"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","TSUN","WDFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-06",,"0.00",,"52","33",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-07",,"0.10",,"48","35",,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-08",,"0.00",,"49","21",,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-09",,"0.00",,"37","18",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-10",,"0.08",,"43","28",,,,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-11",,"0.00",,"41","34",,,,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-12",,"0.81",,"47","39",,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-13",,"0.00",,"54","38",,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-14",,"0.51",,"38","31",,,,,,"    1",,,,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-15",,"0.00",,"45","29",,,,,,"    1",,,,,,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-16",,"0.00",,"43","33",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-17",,"0.00",,"53","35",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-18",,"0.00",,"45","32",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-19",,"0.76",,"52","42",,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-20",,"0.36",,"51","44",,,"    1","    1",,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-21",,"0.00",,"55","38",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-22",,"0.02",,"52","40",,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-23",,"0.00",,"59","43",,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-24",,"0.40",,"48","42",,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-25",,"0.00",,"56","45",,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-26",,"0.01",,"49","26",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-27",,"0.00",,"42","24",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-28",,"0.00",,"51","25",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-29",,"0.08",,"44","37",,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-30",,"0.37",,"51","38",,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-03-31",,"0.00",,"45","33",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-01",,"0.00",,"64","37",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-02",,"0.00",,"47","37",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-03",,"1.17",,"53","33",,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-04",,"0.00",,"38","29",,,,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-05",,"0.00",,"42","28",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-06",,"0.00",,"44","32",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-07",,"0.00",,"48","30",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-08",,"0.00",,"49","33",,,,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-09",,"0.00",,"53","34",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-10",,"0.00",,"51","33",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-11",,"0.00",,"51","36",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-04-12",,"0.00",,"51","36",,,,,,,,,,,,,,,,,,,,,
